L-6-43-SN-20,T-2-7-PO-15,2.37149
PLAZA DE PUENTE ALTO,ESCUELA MILITAR,5.66025
L-6-35-PO-40,T-2-7-PO-6,1.21521
L-6-35-PO-40,,
ESTACION CENTRAL,MANQUEHUE,1.23589
E-10-71-PO-75,T-17-136-PO-30,1.22919
ESTACION CENTRAL,PLAZA DE ARMAS,1.2489
SANTA ROSA,PRINCIPE DE GALES,1.14827
LA CISTERNA L2,,
VESPUCIO NORTE,PLAZA DE ARMAS,1.30043
UNIVERSIDAD DE CHILE,TOBALABA L1,1.18259
E-13-278-OP-40,,
T-23-220-PO-35,,
E-20-290-OP-10,,
LAS REJAS,UNIVERSIDAD DE CHILE,
ALCANTARA,UNIVERSIDAD DE CHILE,5.93057
CAL Y CANTO,,
E-20-289-PO-5,T-15-135-PO-5,1.41421
SIMON BOLIVAR,LOS HEROES L1,1.35941
L-16-4-PO-15,T-16-136-OP-40,1.25212
UNIVERSIDAD DE SANTIAGO,LA CISTERNA L2,1.55545
L-32-18-OP-55,T-20-189-OP-30,1.18358
E-7-53-PO-55,T-17-140-PO-30,1.30728
L-13-65-OP-5,E-13-54-SN-10,2.4428
E-7-53-PO-15,,
T-22-205-SN-65,E-20-190-SN-40,2.82238
EL GOLF,MANQUEHUE,1.16933
E-5-30-OP-20,T-5-29-NS-10,1.32958
E-20-290-OP-10,T-17-136-PO-55,4.30626
E-5-30-PO-7,,
SIMON BOLIVAR,BELLAS ARTES,1.27503
SANTA ROSA,ROJAS MAGALLANES,3.44481
T-18-153-PO-55,T-19-12-SN-5,1.20405
T-20-189-OP-20,E-13-54-NS-80,1.27508
T-18-157-OP-40,T-18-157-OP-43,1.21281
PLAZA MAIPU,LAS REJAS,1.20345
E-20-53-PO-55,T-17-140-PO-29,1.35512
L-19-21-SN-20,L-19-1-PO-5,1.23223
T-5-7-SN-15,,
T-2-3-NS-4,T-20-193-NS-30,1.31944
T-13-54-SN-65,E-14-128-PO-3,1.16491
T-20-205-SN-20,T-20-190-SN-30,1.29955
L-13-25-SN-35,T-17-140-PO-30,1.281
T-14-124-PO-5,T-14-123-NS-20,1.55524
T-14-128-PO-10,T-14-130-NS-25,1.33502
L-17-33-SN-5,L-17-22-SN-5,1.20764
T-20-192-PO-35,L-31-20-NS-55,1.39508
PLAZA MAIPU,PUDAHUEL,2.42948
LAS PARCELAS,,
SANTA ANA L5,LOS DOMINICOS,4.88773
L-4-18-PO-50,T-3-14-SN-15,2.47673
T-34-236-SN-4,E-20-53-OP-35,1.49712
T-17-136-OP-25,,
PATRONATO,ESTACION CENTRAL,1.25724
T-6-327-PO-15,T-6-327-PO-25,1.44604
L-10-54-NS-5,L-9-13-NS-35,3.4716
ESTACION CENTRAL,SANTA LUCIA,3.7467
LAS REJAS,,
T-13-94-PO-15,E-13-278-PO-10,2.24558
T-6-327-PO-20,L-2-8-PO-75,2.89208
L-5-20-PO-5,E-5-30-PO-7,1.30249
T-14-128-PO-10,E-18-157-PO-90,1.33502
TOBALABA L1,MANQUEHUE,1.14543
T-5-34-PO-25,,
E-13-54-SN-5,T-13-101-PO-15,1.3383
L-34-58-SN-75,L-34-22-SN-49,1.14718
T-14-119-NS-5,T-14-119-NS-25,1.26943
E-21-89-OP-35,,
T-25-228-NS-35,T-26-228-NS-5,1.19376
LOS HEROES L1,VESPUCIO NORTE,1.15069
L-7-34-SN-5,,
E-5-30-PO-7,T-5-33-OP-25,1.35436
L-13-110-OP-25,,
L-32-18-OP-5,T-18-157-OP-85,1.2636
L-34-58-SN-75,T-34-270-NS-10,1.14718
E-18-159-NS-5,,
T-10-71-OP-4,,
L-13-61-SN-15,T-20-188-SN-10,1.16607
SANTA ANA L2,NUBLE,2.35748
SAN PABLO L5,VESPUCIO NORTE,2.29678
L-4-18-OP-110,E-4-296-OP-5,5.89155
LOS QUILLAYES,PLAZA EGANA,1.21
SIMON BOLIVAR,LOS HEROES L2,1.27503
GRECIA,HOSPITAL SOTERO DEL RIO,1.26945
L-13-25-SN-35,E-17-140-PO-10,5.124
L-33-17-SN-5,I-33-134-SN-67,1.19769
T-13-12-SN-27,,
T-20-188-NS-5,,
T-6-327-PO-10,T-6-327-PO-25,1.44604
E-13-278-PO-10,,
T-1-3-NS-56,E-20-174-NS-10,3.44409
L-32-18-OP-55,E-18-157-OP-10,1.18358
PUDAHUEL,TOBALABA L1,1.1927
T-4-24-OP-5,L-12-25-NS-25,1.26802
L-23-36-SN-5,I-26-228-SN-25,1.19784
SIMON BOLIVAR,,
T-17-147-SN-3,T-17-140-OP-5,2.3833
PLAZA MAIPU,QUINTA NORMAL,1.20345
T-20-73-OP-15,,
L-13-21-SN-30,L-13-8-PO-20,1.24008
PRINCIPE DE GALES,PATRONATO,1.23223
SAN PABLO L5,SANTA ANA L5,1.14839
LAGUNA SUR,,
T-7-49-PO-10,T-20-189-PO-40,1.40741
UNIVERSIDAD DE CHILE,LAS REJAS,
PLAZA DE ARMAS,MANQUEHUE,6.3061
L-12-25-SN-20,T-4-24-PO-5,1.1299
T-8-61-PO-10,T-8-71-PO-33,1.32138
GRUTA DE LOURDES,,
T-5-7-SN-13,,
L-16-2-SN-5,,
T-20-188-NS-10,,
L-13-6-PO-20,L-13-66-SN-25,1.12717
T-20-203-NS-10,,
T-14-128-PO-10,,
L-17-11-OP-125,,
T-22-205-SN-10,L-15-9-SN-70,5.0027
T-14-128-PO-10,T-14-130-NS-5,1.3256
T-26-228-SN-60,T-25-228-SN-25,1.15509
T-32-156-OP-5,E-18-156-OP-5,1.31698
PAJARITOS,LAS REJAS,1.1988
L-11-18-PO-115,T-20-71-PO-32,1.19102
PRINCIPE DE GALES,,
L-17-46-SN-5,T-17-136-PO-55,2.41528
L-5-20-PO-5,T-5-30-PO-5,1.59319
L-33-17-SN-5,L-33-134-SN-60,5.82794
IRARRAZAVAL,QUINTA NORMAL,1.36355
PLAZA MAIPU,BELLAS ARTES,1.21474
L-6-43-SN-10,T-2-7-PO-7,1.13371
T-13-54-SN-20,T-20-53-PO-12,1.20345
L-4-18-PO-40,T-3-14-SN-15,1.21153
UNIVERSIDAD DE CHILE,,
L-11-18-PO-135,,
L-34-39-OP-5,E-34-294-PO-5,1.10431
T-14-128-PO-10,L-32-18-PO-10,1.33502
T-5-27-PO-5,E-5-30-PO-7,1.34347
T-20-315-SN-4,,
LOS LEONES,,
SIMON BOLIVAR,UNIVERSIDAD CATOLICA,5.10012
L-16-4-PO-15,L-16-19-NS-50,1.38437
L-6-43-SN-20,,
T-13-101-OP-15,E-13-54-NS-80,1.21555
L-34-39-OP-5,L-34-44-PO-6,2.20862
T-20-73-OP-10,T-20-73-OP-55,1.20372
T-1-3-NS-56,E-20-174-NS-5,1.19209
L-4-18-PO-50,,
T-6-327-PO-15,L-2-8-PO-75,4.33812
CAL Y CANTO,VICUNA MACKENNA,1.20876
L-32-18-OP-55,T-20-405-SN-5,2.36716
MACUL,,
MANQUEHUE,UNIVERSIDAD DE CHILE,2.3966
T-2-3-NS-4,E-20-174-NS-5,1.38342
T-17-136-OP-15,L-17-10-NS-45,1.17872
T-2-3-NS-65,T-20-193-NS-37,1.20095
VICENTE VALDES,IRARRAZAVAL,5.63234
L-6-2-PO-20,,
T-19-170-NS-5,,
T-28-234-SN-5,E-20-53-PO-60,1.24779
T-13-104-PO-30,,
T-4-9-OP-10,T-2-9-OP-20,1.77558
L-32-18-OP-5,L-32-22-OP-45,1.21025
T-2-3-NS-4,T-20-193-NS-37,1.31944
SAN PABLO L5,,
T-32-317-SN-5,,
L-19-14-OP-15,L-32-18-PO-10,1.26122
T-5-7-SN-15,L-10-10-OP-10,1.79407
L-34-2-OP-50,L-34-76-SN-20,1.164
L-11-29-NS-15,T-10-79-OP-5,1.39262
T-20-73-OP-15,T-2-8-SN-36,5.6545
TOESCA,SANTA ANA L2,1.40604
T-14-124-PO-5,T-34-269-NS-15,1.36571
EL GOLF,ESTACION CENTRAL,1.16933
L-1-11-NS-5,E-20-174-NS-5,1.15432
L-6-35-PO-40,T-20-188-NS-11,1.21521
HOSPITAL SOTERO DEL RIO,PLAZA DE ARMAS,1.12126
L-2-18-OP-5,,
L-23-21-PO-65,E-22-205-SN-33,5.20868
E-4-296-PO-5,,
T-20-73-OP-15,T-6-47-SN-5,1.34824
L-28-8-SN-105,T-25-228-NS-20,5.93339
E-9-52-NS-20,T-7-52-NS-10,1.13827
E-20-199-NS-2,T-24-205-NS-30,1.43542
L-16-19-NS-40,T-15-136-OP-25,1.26212
T-20-200-SN-10,T-20-200-SN-59,1.30851
L-34-58-SN-75,L-34-22-SN-47,1.14718
L-34-58-SN-85,T-34-270-NS-10,1.22121
L-17-15-OP-5,L-17-24-SN-5,2.47914
T-20-188-NS-10,T-20-182-PO-45,1.32699
L-13-108-NS-15,,
L-23-21-PO-65,L-19-21-SN-20,1.20544
E-20-199-NS-2,,
HOSPITAL SOTERO DEL RIO,LOS LEONES,1.18175
L-13-110-OP-15,L-13-14-PO-27,1.42466
T-15-135-OP-110,T-4-19-NS-100,3.94386
L-34-27-OP-10,L-34-44-PO-6,1.08422
L-6-43-SN-15,T-2-7-PO-15,1.23109
E-9-52-NS-20,T-7-52-NS-15,1.13827
E-20-53-PO-90,T-17-140-PO-30,1.35043
HOSPITAL SOTERO DEL RIO,CRISTOBAL COLON,3.36378
L-4-8-OP-55,L-4-8-OP-5,1.20627
T-8-62-NS-15,,
T-6-327-PO-10,L-4-4-PO-60,1.43345
L-8-18-OP-5,,
L-13-65-OP-5,,
SAN PABLO L1,EL GOLF,5.74195
E-17-140-PO-7,T-17-145-PO-5,5.24456
T-17-144-OP-15,T-17-136-PO-65,1.32096
L-29-22-PO-25,,
E-17-140-PO-7,T-17-140-PO-29,1.29964
T-5-29-SN-5,,
T-11-75-NS-5,E-10-75-NS-21,1.39981
L-23-21-PO-65,T-23-205-SN-42,1.21462
MANQUEHUE,EL GOLF,1.17939
E-4-296-PO-5,L-6-6-OP-5,3.60006
E-7-53-PO-55,E-17-140-PO-7,1.30728
T-20-199-NS-10,T-20-201-NS-60,1.23614
L-10-55-PO-5,L-9-13-NS-35,1.1572
L-16-2-SN-5,T-17-136-PO-50,1.25212
SANTA JULIA,,
L-13-65-OP-5,T-13-54-SN-50,1.25787
TOBALABA L1,UNIVERSIDAD DE CHILE,1.14543
T-10-71-OP-4,T-5-7-SN-15,1.28004
PLAZA DE PUENTE ALTO,PLAZA DE ARMAS,1.14756
T-17-144-OP-15,T-17-136-PO-55,1.43004
T-20-188-NS-10,T-20-192-PO-20,1.32699
QUINTA NORMAL,PUDAHUEL,6.0751
HOSPITAL SOTERO DEL RIO,PEDRO DE VALDIVIA,1.12126
L-6-35-PO-40,T-20-192-PO-15,1.21521
L-32-18-OP-5,L-32-24-SN-5,2.4205
T-13-54-SN-70,E-7-53-PO-15,1.1686
MANQUEHUE,TOBALABA L1,1.207
SAN ALBERTO HURTADO,,
T-23-216-OP-5,L-23-21-OP-70,1.23487
T-15-135-OP-105,T-4-19-NS-100,1.31462
T-13-88-PO-5,,
UNION LATINO AMERICANA,LOS HEROES L1,1.20793
VICUNA MACKENNA,MANQUEHUE,1.19636
E-20-199-NS-2,T-24-205-NS-20,2.87084
E-4-296-OP-5,L-6-6-OP-5,2.83112
L-13-110-OP-25,L-13-14-PO-27,1.21286
L-13-14-PO-25,T-12-12-PO-18,1.36194
PLAZA MAIPU,CRISTOBAL COLON,6.0737
T-23-438-SN-10,T-20-188-SN-5,1.2461
LOS DOMINICOS,ESTACION CENTRAL,1.19794
L-13-15-PO-90,,
ALCANTARA,LOS LEONES,1.54693
L-34-39-OP-15,E-34-294-PO-5,1.10431
T-20-188-NS-10,T-20-192-PO-5,1.32699
T-12-89-OP-10,,
L-34-99-SN-5,L-34-58-NS-70,1.21077
E-20-291-PO-20,T-15-135-PO-5,1.60898
LOS DOMINICOS,LA GRANJA,1.20764
E-18-157-OP-10,T-18-157-OP-40,1.24783
L-5-20-PO-5,E-7-51-NS-15,1.59319
LAS PARCELAS,PLAZA DE ARMAS,5.81275
L-12-25-SN-20,,
L-32-18-OP-5,T-32-454-SN-15,1.21025
CAL Y CANTO,ZAPADORES,3.6314
T-17-140-PO-29,T-17-145-PO-5,1.41592
L-13-110-OP-15,E-13-278-PO-25,1.21286
T-22-205-SN-10,L-15-9-NS-65,1.2625
T-20-203-NS-20,T-20-193-NS-37,1.30304
L-11-14-NS-20,,
LOS PRESIDENTES,ALCANTARA,4.76692
LOS DOMINICOS,PLAZA MAIPU,2.41528
T-7-53-PO-40,,
